num_emp;ano_insc;ug;uo;fonte;num_doc;credor;nome_credor;valor;valor_anu_ant;valor_anu_mes;valor_em_liq_ant;valor_em_liq_mes;valor_liq_ant;valor_liq_mes;valor_pag_ant;valor_pag_mes;saldo_ant;saldo_mes
5538;2022;1546;1131;02500702;/;19809;AUTARQUIA MUN.DE TRANSITO E TRANSP.DE CONTAGEM-TRANSCON;205,61;205,61;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
5550;2022;1546;1131;21621000;/;24917;ASSOCIAÇÃO CUIDAR BEM/MG - ACB;77.907,99;8.663,37;0,00;0,00;0,00;69.244,62;0,00;69.244,62;0,00;0,00;0,00
5554;2022;4123;1123;01500701;/;34253;OI S.A. - EM RECUPERACAO JUDICIAL;673,06;0,00;0,00;0,00;0,00;673,06;0,00;673,06;0,00;0,00;0,00
5555;2022;4123;1123;01500701;/;34253;OI S.A. - EM RECUPERACAO JUDICIAL;9.000,00;2.686,66;0,00;0,00;0,00;6.313,34;0,00;6.313,34;0,00;0,00;0,00
5646;2022;0116;1071;01500000;/;53280;WC VIAGENS E TURISMO EIRELI;6.096,11;1.281,78;0,00;0,00;0,00;4.814,33;0,00;4.814,33;0,00;0,00;0,00
5672;2022;1546;1131;21600000;/;30916;OTTO BOCK DO BRASIL TECNICA ORTOPEDICA LTDA;84.827,00;84.827,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
5674;2022;0106;1021;01500000;/;38546;RMV EVENTOS E SERVIÇOS LTDA ME;6.258,66;0,00;0,00;6.258,66;0,00;0,00;0,00;0,00;0,00;6.258,66;6.258,66
5682;2022;0116;1071;21751000;/;13685;CEMIG DISTRIBUIÇÃO S/A;156.950,79;0,00;0,00;0,00;0,00;156.950,79;0,00;156.950,79;0,00;0,00;0,00
5684;2022;1546;1131;02500702;/;17498;CONSTRUTORA ISRAEL EIRELI;284.313,75;18.098,52;0,00;0,00;0,00;266.215,23;0,00;266.215,23;0,00;0,00;0,00
5687;2022;1546;1131;51500702;/;49055;ASSOCIAÇÃO MINEIRA PRO-VIDA - AMIPRO;191.469,72;0,00;0,00;0,00;0,00;191.469,72;0,00;191.469,72;0,00;0,00;0,00
5694;2022;0116;1071;21751000;/;13685;CEMIG DISTRIBUIÇÃO S/A;197.917,08;0,00;0,00;0,00;0,00;197.917,08;0,00;197.917,08;0,00;0,00;0,00
5712;2022;1546;1131;21600000;5629/2022;32504;ACACIA COMERCIO DE MEDICAMENTOS LTDA;3.628,11;3.628,10;0,01;0,00;0,00;0,00;0,00;0,00;0,00;0,01;0,00
5724;2022;1546;1131;21600000;/;51897;REIS INDUSTRIA E COMERCIO DE BOLSAS E PROMOCIONAIS EIRELI;48.896,54;0,00;0,00;0,00;0,00;48.896,54;0,00;48.896,54;0,00;0,00;0,00
5726;2022;1546;1131;21600000;/;54526;JESSICA LORENA CUNHA SILVA 00871015994;81.154,00;0,00;43.488,72;0,00;0,00;37.665,28;0,00;37.665,28;0,00;43.488,72;0,00
5755;2022;1546;1131;21621000;/;50182;L. FERNANDO MAZZA CURSOS E TREINAMENTO;13.854,17;13.854,17;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
5759;2022;1546;1131;21600000;/;48364;MEGA SOLUCOES CIENTIFICAS E LOCACAO EIRELI;16.393,12;0,00;10.153,38;0,00;0,00;6.239,74;0,00;3.596,88;2.642,86;12.796,24;0,00
5762;2022;1546;1131;51621710;/;20909;KS - EVENTOS E SHOW LTDA.;77.482,63;77.482,63;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
5787;2022;1546;1131;02500702;/;38730;LCR COMUNICAÇÃO VISUAL LTDA - ME;205,37;205,37;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
5788;2022;0144;1111;01500000;/;41600;MGS MINAS GERAIS ADMINISTRAÇÃO E SERVIÇOS SA;111.720,13;0,00;0,00;0,00;0,00;111.720,13;0,00;111.720,13;0,00;0,00;0,00
5789;2022;0144;1111;01500000;/;41600;MGS MINAS GERAIS ADMINISTRAÇÃO E SERVIÇOS SA;127.781,25;0,00;0,00;0,00;0,00;127.781,25;0,00;127.781,25;0,00;0,00;0,00
5792;2022;1546;1131;02500702;/;309;TONY PLACAS EIRELI;367,80;367,80;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
5793;2022;1546;1131;21600000;/;55319;DLC SERVIÇOS MÉDICOS LTDA;42.638,19;42.638,19;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
5794;2022;1546;1131;01500702;/;55319;DLC SERVIÇOS MÉDICOS LTDA;11.829,28;11.829,28;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
5808;2022;1546;1131;21600000;/;48364;MEGA SOLUCOES CIENTIFICAS E LOCACAO EIRELI;59,77;59,28;0,49;0,00;0,00;0,00;0,00;0,00;0,00;0,49;0,00
5809;2022;1546;1131;21600000;/;48364;MEGA SOLUCOES CIENTIFICAS E LOCACAO EIRELI;1.389,82;1.388,97;0,85;0,00;0,00;0,00;0,00;0,00;0,00;0,85;0,00
5840;2022;1546;1131;21600000;/;7852;PRATI, DONADUZZI & CIA LTDA;6,80;0,00;6,80;0,00;0,00;0,00;0,00;0,00;0,00;6,80;0,00
5852;2022;4123;1123;01500000;5773/2022;845;SEMPRE EDITORA LTDA;14.625,00;0,00;0,00;0,00;0,00;14.625,00;0,00;14.625,00;0,00;0,00;0,00
5853;2022;4123;1123;01500000;5773/2022;845;SEMPRE EDITORA LTDA;11.700,00;0,00;0,00;0,00;0,00;11.700,00;0,00;11.700,00;0,00;0,00;0,00
5856;2022;4123;1123;01500000;5773/2022;845;SEMPRE EDITORA LTDA;2.925,00;0,00;0,00;0,00;0,00;2.925,00;0,00;2.925,00;0,00;0,00;0,00
5861;2022;1546;1131;21600000;/;16275;GTO GRUPO TECNICO EM ODONTOLOGIA LTDA;13.180,50;0,00;5.528,50;0,00;0,00;7.652,00;0,00;7.652,00;0,00;5.528,50;0,00
5865;2022;4123;1123;22550000;/;53143;SEPAT MULTI SERVICE LTDA;256.447,92;256.447,92;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
5903;2022;1546;1131;21600000;/;43040;ATUAL PRODUTOS E SERVICOS LTDA;15.799,16;1.794,59;0,00;0,00;0,00;14.004,57;0,00;14.004,57;0,00;0,00;0,00
5904;2022;1546;1131;21600000;/;43040;ATUAL PRODUTOS E SERVICOS LTDA;20,65;20,65;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
5929;2022;0171;1151;31500000;/;48546;TRAÇADO CONSTRUÇÕES E SERVIÇOS LTDA;965,85;965,85;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
5932;2022;1546;1131;21600000;/;6645;SAPRA LANDAUER SERV. ASSESSORIA E PROT. RADIOLOGICA S/C LTDA;32,00;32,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
5943;2022;0143;1241;01500000;5712/2022;43669;PRAXIS DESENVOLVIMENTO DE SISTEMAS LTDA - ME;2.400,00;0,00;0,00;0,00;0,00;2.400,00;0,00;2.400,00;0,00;0,00;0,00
5994;2022;0142;1201;01500000;5708/2022;33979;LPK LTDA-ME;442,14;0,00;0,00;0,00;0,00;442,14;0,00;442,14;0,00;0,00;0,00
6012;2022;1546;1131;21600000;/;105;ANTONIO VICTOR DA FONSECA;358,54;204,88;0,00;0,00;0,00;153,66;0,00;153,66;0,00;0,00;0,00
6035;2022;1546;1131;21600000;/;53449;INTEGRAÇÃO HORTIFRUTIGRANJEIROS LTDA;77.940,00;77.940,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
6059;2022;1546;1131;01500702;/;43249;SAMEH - SOLUCOES HOSPITALARES LTDA - EPP;20,70;20,70;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
6070;2022;0147;1251;01500000;/;43327;Agência Clic Soluções em Tecnologia e Midia Visual LTDA- ME;1.166,67;0,00;0,00;0,00;0,00;1.166,67;0,00;1.166,67;0,00;0,00;0,00
6090;2022;0144;1111;01500000;/;41783;MUNDO OFFICE LTDA;9.701,30;0,00;0,00;0,00;0,00;9.701,30;0,00;9.701,30;0,00;0,00;0,00
6095;2022;1546;1131;22621000;/;48396;GUSTAVO NICOLINO;1.866,09;1.866,09;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
6098;2022;0147;1251;01500000;/;13931;ON LINE TECNOLOGIA E INTEGRAÇÃO LTDA-EPP;653,23;0,00;0,00;0,00;0,00;653,23;0,00;653,23;0,00;0,00;0,00
6101;2022;0147;1251;01500000;/;46062;POST BANK COMERCIO SERVICOS E ASSISTENCIA TECNICA LTDA;6.119,00;0,00;0,00;0,00;0,00;6.119,00;0,00;6.119,00;0,00;0,00;0,00
6103;2022;0147;1251;01500000;/;46062;POST BANK COMERCIO SERVICOS E ASSISTENCIA TECNICA LTDA;8.138,00;0,00;0,00;0,00;0,00;8.138,00;0,00;8.138,00;0,00;0,00;0,00
6107;2022;1546;1131;22621000;/;55903;MEGA DENTAL IMPORTAÇÃO , EXPORTAÇÃO E COMERCIO DE PRODUTOS ODONTOLOGICOS EIRELI;672,65;0,00;100,73;0,00;0,00;571,92;0,00;571,92;0,00;100,73;0,00
6127;2022;0147;1251;01500000;/;34253;OI S.A. - EM RECUPERACAO JUDICIAL;21.700,00;482,02;0,00;0,00;0,00;21.217,98;0,00;21.217,98;0,00;0,00;0,00
6137;2022;0147;1251;01500000;/;46951;GEMELO DO BRASIL DATA CENTERS, COMÉRCIO E SERVIÇOS LTDA;16.014,00;0,00;0,00;0,00;0,00;16.014,00;0,00;16.014,00;0,00;0,00;0,00
6138;2022;0147;1251;01500000;/;46951;GEMELO DO BRASIL DATA CENTERS, COMÉRCIO E SERVIÇOS LTDA;1.375,73;0,00;0,00;0,00;0,00;1.375,73;0,00;1.375,73;0,00;0,00;0,00
6141;2022;0147;1251;02500000;/;54747;NEFELIS SISTEMAS LTDA;16.385,83;0,00;0,00;0,00;0,00;16.385,83;0,00;16.385,83;0,00;0,00;0,00
6142;2022;1546;1131;21600000;/;45879;PREMIUM DISTRIBUIDORA EIRELI;103,66;103,50;0,16;0,00;0,00;0,00;0,00;0,00;0,00;0,16;0,00
6169;2022;1546;1131;21600000;/;48359;ORTOPEDICA UNIVERSO INDUSTRIA & COMERCIO EIRELI;11.651,16;11.651,15;0,01;0,00;0,00;0,00;0,00;0,00;0,00;0,01;0,00
6170;2022;1546;1131;21600000;/;22209;WHITE MARTINS GASES INDUSTRIAIS DO NORDESTE S/A;190.821,81;0,00;153.292,28;29.972,83;0,00;7.556,70;0,00;6.438,12;1.118,58;184.383,69;29.972,83
6195;2022;0144;1111;01500000;/;43870;ONLINE SOLUCOES EM TI E MULTIMIDIA LTDA;876,00;876,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
6339;2022;0116;1071;01500000;4916/2019;17931;RODAR CENTRO AUTOMOTIVO LTDA;3.023,29;1.273,30;0,00;0,00;0,00;1.749,99;0,00;1.749,99;0,00;0,00;0,00
6367;2022;1546;1131;21600000;/;42619;MEDICALTHERMO ENGENHARIA E SERVICOS LTDA;2.100,00;2.100,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
6436;2022;1546;1131;21600000;/;42619;MEDICALTHERMO ENGENHARIA E SERVICOS LTDA;600,00;600,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
6437;2022;0144;1111;01500000;/;53684;EFLEX INDÚSTRIA E COMÉRCIO DE MÓVEIS EIRELI;8.699,85;0,00;0,00;0,00;0,00;8.699,85;0,00;8.699,85;0,00;0,00;0,00
6439;2022;0112;1061;01500000;/;845;SEMPRE EDITORA LTDA;74.000,00;0,00;0,00;0,00;0,00;74.000,00;0,00;74.000,00;0,00;0,00;0,00
6512;2022;0116;1071;01500000;/;55962;PERSI ANIL COMERCIO E SEVIÇOS EIRELI - ME;78.644,95;0,00;0,00;0,00;0,00;78.644,95;0,00;78.644,95;0,00;0,00;0,00
6551;2022;4123;1123;01500701;5755/2022;16484;ÁGUIA COOPERATIVA DE TRANSPORTES - COOPERMAC;36.006,90;26.508,40;0,00;0,00;0,00;9.498,50;0,00;9.498,50;0,00;0,00;0,00
6677;2022;0171;1151;01500000;5789/2022;23704;STRATA ENGENHARIA LTDA;152.420,46;420,51;0,00;0,00;0,00;151.999,95;0,00;151.999,95;0,00;0,00;0,00
6679;2022;1546;1131;21600000;/;42619;MEDICALTHERMO ENGENHARIA E SERVICOS LTDA;10.885,22;10.028,64;0,00;0,00;0,00;856,58;0,00;856,58;0,00;0,00;0,00
6681;2022;1546;1131;21600000;/;131;ELDORADO CLINICA OFTALMOLOGICA LTDA;540.372,31;540.372,31;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
6683;2022;1546;1131;01500702;/;131;ELDORADO CLINICA OFTALMOLOGICA LTDA;10.941,81;10.941,81;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
6684;2022;1546;1131;21600000;/;16305;IMOC INSTITUTO MINEIRO DE OLHOS DE CONTAGEM LTDA;227.766,43;227.766,43;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
6685;2022;1546;1131;01500702;/;16305;IMOC INSTITUTO MINEIRO DE OLHOS DE CONTAGEM LTDA;12.041,06;12.041,06;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
6687;2022;1546;1131;01500702;/;34257;JOSE AUGUSTO PADUA SALAS -OFTALMOLOGIA - EIRELI - EPP;598,58;598,58;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
6700;2022;0128;1091;01500000;/;295;FONTUS DISTRIBUIDORA DE ÁGUAS MINERAIS LTDA;187,35;0,00;0,00;0,00;0,00;187,35;0,00;187,35;0,00;0,00;0,00
6705;2022;4123;1123;01500701;/;53645;CONSERVADORA E ADMINISTRADORA GARCIA SERVICOS EIRELI;22.771,69;22.771,69;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
6709;2022;4123;1123;01500701;/;53549;JBX SERVICOS EIRELI;83.237,55;0,00;0,00;0,00;0,00;83.237,55;0,00;83.237,55;0,00;0,00;0,00
6726;2022;1546;1131;21621000;/;17931;RODAR CENTRO AUTOMOTIVO LTDA;8.843,53;8.264,68;0,00;0,00;0,00;578,85;0,00;578,85;0,00;0,00;0,00
6739;2022;1546;1131;22621000;/;55648;SOCIEDADE BRASILEIRA DE MEDICINA TROPICAL SBMT;6.370,00;6.370,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
6745;2022;1546;1131;21600000;/;7217;CONSELHO NAC.DOS SECRETARIOS MUNIC.DE SAUDE;32.342,16;8.847,90;0,00;0,00;0,00;23.494,26;0,00;23.494,26;0,00;0,00;0,00
6773;2022;0145;1181;51500000;/;1043;INSTITUTO SER FELIZ;127.646,47;0,00;0,00;0,00;0,00;127.646,47;0,00;127.646,47;0,00;0,00;0,00
6792;2022;0171;1151;31500000;/;51855;CONSORCIO CONTAGEM CAF;5.916,68;105,81;0,00;0,00;0,00;5.810,87;0,00;5.810,87;0,00;0,00;0,00
6793;2022;0171;1151;41754901;/;51855;CONSORCIO CONTAGEM CAF;9.903,32;177,11;0,00;0,00;0,00;9.726,21;0,00;9.726,21;0,00;0,00;0,00
6797;2022;4123;1123;21550000;/;53143;SEPAT MULTI SERVICE LTDA;14.728,28;14.728,28;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
6799;2022;4123;1123;22550000;/;53143;SEPAT MULTI SERVICE LTDA;642.000,40;642.000,40;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
6802;2022;4123;1123;21552000;/;53143;SEPAT MULTI SERVICE LTDA;128.400,08;128.400,08;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
6803;2022;4123;1123;21552000;/;53143;SEPAT MULTI SERVICE LTDA;16.037,35;16.037,35;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
6804;2022;4123;1123;21552000;/;53143;SEPAT MULTI SERVICE LTDA;2.297,82;2.297,82;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
6805;2022;4123;1123;21550000;/;53143;SEPAT MULTI SERVICE LTDA;11.790,46;11.790,46;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
6809;2022;4123;1123;01500701;/;52447;JLM LOCAÇÕES E LOGÍSTICA LTDA;8.448,67;1.907,77;0,00;0,00;0,00;6.540,90;0,00;6.540,90;0,00;0,00;0,00
6810;2022;4123;1123;01500701;/;10058;COOPERATIVA DOS SERVIDORES AUTONOMOS BH LTDA;1.352,95;0,00;0,00;0,00;0,00;1.352,95;0,00;1.352,95;0,00;0,00;0,00
6811;2022;4123;1123;21550000;/;53143;SEPAT MULTI SERVICE LTDA;4.783,63;4.783,63;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
6812;2022;4123;1123;01500701;/;52955;COOPERTRANSP -COOPERATIVA DE PRESTADORES DE SERVIÇO DE TRANSPORTE DE PASSAGEIROS E CARGAS DE NOVA LIMA LTDA;13.723,80;333,60;0,00;0,00;0,00;13.390,20;0,00;13.390,20;0,00;0,00;0,00
6821;2022;0116;1071;01500000;5403/2021;52447;JLM LOCAÇÕES E LOGÍSTICA LTDA;23.033,41;0,00;0,00;0,00;0,00;23.033,41;0,00;23.033,41;0,00;0,00;0,00
6822;2022;0116;1071;01500000;5403/2021;52955;COOPERTRANSP -COOPERATIVA DE PRESTADORES DE SERVIÇO DE TRANSPORTE DE PASSAGEIROS E CARGAS DE NOVA LIMA LTDA;201.608,68;0,00;0,00;0,00;0,00;201.608,68;0,00;201.608,68;0,00;0,00;0,00
6837;2022;1546;1131;21621000;/;1474;INSTITUIÇÃO ESPÍRITA LAR DE MARCOS;17.614,58;0,00;0,00;0,00;0,00;17.614,58;0,00;17.614,58;0,00;0,00;0,00
6855;2022;1546;1131;21600000;/;6645;SAPRA LANDAUER SERV. ASSESSORIA E PROT. RADIOLOGICA S/C LTDA;148,50;148,50;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
6858;2022;0116;1071;01500000;5768/2022;54634;ZENITTI SOLUÇÕES E SERVIÇOS LTDA;5.491,42;3.741,22;0,00;0,00;0,00;1.750,20;0,00;1.750,20;0,00;0,00;0,00
6861;2022;4123;1123;01500701;/;41600;MGS MINAS GERAIS ADMINISTRAÇÃO E SERVIÇOS SA;298.314,39;26.061,31;0,00;0,00;0,00;272.253,08;0,00;272.253,08;0,00;0,00;0,00
6868;2022;0181;1171;01500000;/;41600;MGS MINAS GERAIS ADMINISTRAÇÃO E SERVIÇOS SA;137.114,10;72.202,21;0,00;0,00;0,00;64.911,89;0,00;64.911,89;0,00;0,00;0,00
6873;2022;0181;1171;01500000;5770/2022;49938;REAL AGROVETERINARIA EIRELI;1.737,61;1.737,61;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
6916;2022;1546;1131;52710710;/;44182;SALVÍ LOPES E CIA LTDA - ME;8.179,50;8.179,50;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
6945;2022;1546;1131;01500702;/;27191;ACHEI INDÚSTRIA DE MÓVEIS PARA ESCRITÓRIO LTDA;720,00;0,00;0,00;0,00;0,00;720,00;0,00;720,00;0,00;0,00;0,00
6958;2022;0147;1251;01500000;/;33478;INFOSHOT SERVIÇOS E SOLUÇÕES EM TI LTDA;6.608,28;0,00;0,00;0,00;0,00;6.608,28;0,00;6.608,28;0,00;0,00;0,00
6992;2022;0136;1101;01500000;/;38546;RMV EVENTOS E SERVIÇOS LTDA ME;1.104,50;1.104,50;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
7077;2022;0116;1071;01500000;5130/2020;29207;CASA DE DESENVOLVIMENTO DE SOFTWARE LTDA;51.284,79;600,05;0,00;0,00;0,00;50.684,74;0,00;50.684,74;0,00;0,00;0,00
7083;2022;1546;1131;21600000;/;50490;ALTS COMERCIO DE MATERIAIS E EQUIPAMENTOS HOSPITALARES EIRELI;5.699,00;5.699,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
7102;2022;0143;1241;01500000;/;38546;RMV EVENTOS E SERVIÇOS LTDA ME;1.064,00;1.064,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
7108;2022;4123;1123;21550000;/;53143;SEPAT MULTI SERVICE LTDA;370,01;370,01;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
7126;2022;4123;1123;01500701;5802/2022;41600;MGS MINAS GERAIS ADMINISTRAÇÃO E SERVIÇOS SA;138.379,23;0,00;0,00;0,00;0,00;138.379,23;0,00;138.379,23;0,00;0,00;0,00
7153;2022;1546;1131;01500702;/;25983;CD FISIOTERAPIA LTDA;12,34;12,34;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
7162;2022;1546;1131;21751000;/;130;CEMIG - COMPANHIA ENERGÉTICA DE MINAS GERAIS;618.681,92;365.546,58;0,00;0,00;0,00;253.135,34;0,00;253.135,34;0,00;0,00;0,00
7177;2022;1546;1131;01500702;4454/2018;38892;ANA RAQUEL FONSECA PAIVA - ME;19.125,00;10.125,00;0,00;0,00;0,00;9.000,00;0,00;9.000,00;0,00;0,00;0,00
7204;2022;0145;1181;01500000;5432/2021;38730;LCR COMUNICAÇÃO VISUAL LTDA - ME;6.262,61;6.130,65;0,00;0,00;0,00;131,96;0,00;131,96;0,00;0,00;0,00
7225;2022;0116;1071;01500000;4770/2019;41395;CONCEITO SOLUÇÃO EM PUBLICAÇÃO EIRELI ME;10.464,00;0,00;0,00;0,00;0,00;10.464,00;0,00;10.464,00;0,00;0,00;0,00
7235;2022;1546;1131;21600000;/;31839;POSTO ZEPPE OASIS LTDA;3.201,00;3.201,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
7236;2022;1546;1131;21600000;/;31839;POSTO ZEPPE OASIS LTDA;31.151,56;25.164,99;0,00;130,09;0,00;5.856,48;0,00;5.856,48;0,00;130,09;130,09
7325;2022;1546;1131;21621000;/;36817;INSTITUIÇÃO DE COOPERAÇÃO INTERMUNICIPAL DO MÉDIO PARAOPEBA - CISMEP;315.893,42;0,00;0,00;0,00;0,00;315.893,42;0,00;315.893,42;0,00;0,00;0,00
7329;2022;1546;1131;21600000;/;36817;INSTITUIÇÃO DE COOPERAÇÃO INTERMUNICIPAL DO MÉDIO PARAOPEBA - CISMEP;167.989,56;0,00;0,00;0,00;0,00;167.989,56;0,00;167.989,56;0,00;0,00;0,00
7332;2022;1546;1131;21600000;/;36817;INSTITUIÇÃO DE COOPERAÇÃO INTERMUNICIPAL DO MÉDIO PARAOPEBA - CISMEP;66.100,24;66.100,24;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
7334;2022;1546;1131;21600000;/;36817;INSTITUIÇÃO DE COOPERAÇÃO INTERMUNICIPAL DO MÉDIO PARAOPEBA - CISMEP;363.003,54;0,00;0,00;0,00;0,00;363.003,54;0,00;363.003,54;0,00;0,00;0,00
7346;2022;1546;1131;21621000;/;36817;INSTITUIÇÃO DE COOPERAÇÃO INTERMUNICIPAL DO MÉDIO PARAOPEBA - CISMEP;854.535,27;37.882,79;0,00;0,00;0,00;816.652,48;0,00;816.652,48;0,00;0,00;0,00
7347;2022;1546;1131;21600000;/;36817;INSTITUIÇÃO DE COOPERAÇÃO INTERMUNICIPAL DO MÉDIO PARAOPEBA - CISMEP;354.434,94;0,00;0,00;0,00;0,00;354.434,94;0,00;354.434,94;0,00;0,00;0,00
7348;2022;1546;1131;21600000;/;36817;INSTITUIÇÃO DE COOPERAÇÃO INTERMUNICIPAL DO MÉDIO PARAOPEBA - CISMEP;178.810,27;178.810,27;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
7349;2022;1546;1131;21600000;/;36817;INSTITUIÇÃO DE COOPERAÇÃO INTERMUNICIPAL DO MÉDIO PARAOPEBA - CISMEP;981.974,63;0,00;0,00;0,00;0,00;981.974,63;0,00;981.974,63;0,00;0,00;0,00
7350;2022;4123;1123;01500701;5803/2022;52690;COLISEU EMPRESARIAL IMOBILIÁRIOS LTDA;3.645,79;0,00;0,00;0,00;0,00;3.645,79;0,00;3.645,79;0,00;0,00;0,00
7361;2022;4123;1123;01500701;/;20909;KS - EVENTOS E SHOW LTDA.;1.093,34;1.093,34;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
7411;2022;1546;1131;21621000;/;309;TONY PLACAS EIRELI;901,11;901,11;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
7412;2022;1546;1131;21621000;/;309;TONY PLACAS EIRELI;220,68;220,68;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
7414;2022;1546;1131;51710710;/;309;TONY PLACAS EIRELI;73,56;73,56;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
7422;2022;1546;1131;01500702;/;43426;IMPRENSA NACIONAL;500,00;344,32;0,00;0,00;0,00;155,68;0,00;155,68;0,00;0,00;0,00
7433;2022;1968;1212;01500000;/;49280;ASSOCIAÇÃO REDE SOLIDARIA DE CONTAGEM;125.139,47;65.526,05;0,00;0,00;0,00;59.613,42;0,00;59.613,42;0,00;0,00;0,00
7436;2022;1968;1212;01500000;/;27546;ASSOC. DOS CATADORES AUTONÔMOS DE MAT. RECICL. DE CONTAGEM;189.081,72;56.636,40;0,00;0,00;0,00;132.445,32;0,00;132.445,32;0,00;0,00;0,00
7444;2022;0116;1071;01500000;5146/2020;43426;IMPRENSA NACIONAL;1.946,00;1.794,24;0,00;0,00;0,00;151,76;0,00;151,76;0,00;0,00;0,00
7449;2022;1546;1131;22621000;/;319;EMPRESA BRASILEIRA DE CORREIOS E TELEGRAFOS;3.637,76;3.637,76;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
7492;2022;1546;1131;01500702;/;16749;FUJITECH EQUIPAMENTOS MEDICOS LTDA;241.333,00;0,00;0,00;0,00;0,00;241.333,00;0,00;241.333,00;0,00;0,00;0,00
7493;2022;1546;1131;22601000;/;16749;FUJITECH EQUIPAMENTOS MEDICOS LTDA;248.667,00;0,00;0,00;0,00;0,00;248.667,00;0,00;248.667,00;0,00;0,00;0,00
7559;2022;0104;1051;01500000;/;38833;JUNTA COMERCIAL DO ESTADO DE MINAS GERAIS;448,72;0,00;0,00;0,00;0,00;448,72;0,00;448,72;0,00;0,00;0,00
7595;2022;1546;1131;21621000;/;48794;SAMUEL PADOVAN;8.500,92;8.500,92;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
7602;2022;1138;1102;01500000;/;53975;MEGA VALE ADMINISTRADORA DE CARTOES E SERVICOS LTDA;69.392,64;69.392,64;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
7620;2022;1546;1131;21621000;/;48938;HEALTH SANTA LUZIA LTDA;4.368,28;4.368,28;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
7621;2022;0112;1061;01500000;/;20909;KS - EVENTOS E SHOW LTDA.;27.280,32;0,00;0,00;0,00;0,00;27.280,32;0,00;27.280,32;0,00;0,00;0,00
7671;2022;1546;1131;01500702;/;55308;REISPEL LTDA;5.880,00;5.880,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
